 written on  2Oct2023 at 15:32:43 
           3
         125
    8    4    4    4    8    4    2    2    2    4    4    2    2    2    4
    4    2    2    2    4    8    4    4    4    8    4    2    2    2    4
    2    1    1    1    2    2    1    1    1    2    2    1    1    1    2
    4    2    2    2    4    4    2    2    2    4    2    1    1    1    2
    2    1    1    1    2    2    1    1    1    2    4    2    2    2    4
    4    2    2    2    4    2    1    1    1    2    2    1    1    1    2
    2    1    1    1    2    4    2    2    2    4    8    4    4    4    8
    4    2    2    2    4    4    2    2    2    4    4    2    2    2    4
    8    4    4    4    8
   -2   -2   -2    1    1    0.000365    0.000000
   -2   -2   -2    2    1   -0.001218   -0.000172
   -2   -2   -2    3    1   -0.001920    0.001416
   -2   -2   -2    1    2   -0.001218    0.000172
   -2   -2   -2    2    2   -0.005161    0.000000
   -2   -2   -2    3    2   -0.000405    0.000786
   -2   -2   -2    1    3   -0.001920   -0.001416
   -2   -2   -2    2    3   -0.000405   -0.000786
   -2   -2   -2    3    3    0.003483    0.000000
   -2   -2   -1    1    1   -0.001333    0.000000
   -2   -2   -1    2    1    0.001029    0.000170
   -2   -2   -1    3    1    0.001282   -0.001540
   -2   -2   -1    1    2    0.001030   -0.000176
   -2   -2   -1    2    2    0.004550    0.000002
   -2   -2   -1    3    2    0.000395   -0.000892
   -2   -2   -1    1    3    0.001303    0.001546
   -2   -2   -1    2    3    0.000397    0.000896
   -2   -2   -1    3    3   -0.007939   -0.000002
   -2   -2    0    1    1    0.001662    0.000000
   -2   -2    0    2    1   -0.000677   -0.000009
   -2   -2    0    3    1   -0.004771    0.001289
   -2   -2    0    1    2   -0.000677    0.000009
   -2   -2    0    2    2   -0.004491    0.000000
   -2   -2    0    3    2   -0.001264    0.000057
   -2   -2    0    1    3   -0.004771   -0.001289
   -2   -2    0    2    3   -0.001264   -0.000057
   -2   -2    0    3    3   -0.023637    0.000000
   -2   -2    1    1    1   -0.001333   -0.000000
   -2   -2    1    2    1    0.001030    0.000176
   -2   -2    1    3    1    0.001303   -0.001546
   -2   -2    1    1    2    0.001029   -0.000170
   -2   -2    1    2    2    0.004550   -0.000002
   -2   -2    1    3    2    0.000397   -0.000896
   -2   -2    1    1    3    0.001282    0.001540
   -2   -2    1    2    3    0.000395    0.000892
   -2   -2    1    3    3   -0.007939    0.000002
   -2   -2    2    1    1    0.000365    0.000000
   -2   -2    2    2    1   -0.001218   -0.000172
   -2   -2    2    3    1   -0.001920    0.001416
   -2   -2    2    1    2   -0.001218    0.000172
   -2   -2    2    2    2   -0.005161    0.000000
   -2   -2    2    3    2   -0.000405    0.000786
   -2   -2    2    1    3   -0.001920   -0.001416
   -2   -2    2    2    3   -0.000405   -0.000786
   -2   -2    2    3    3    0.003483    0.000000
   -2   -1   -2    1    1    0.000268    0.000001
