 written on 29Aug2025 at 15:58:35 
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1
   -5   -3    0    1    1    0.002078    0.000000
   -5   -3    0    2    1    0.000000    0.000000
   -5   -3    0    3    1   -0.002686    0.000000
   -5   -3    0    4    1   -0.003403    0.000000
   -5   -3    0    5    1    0.001355    0.000000
   -5   -3    0    6    1    0.000000   -0.000000
   -5   -3    0    7    1    0.002898    0.000000
   -5   -3    0    8    1   -0.000354    0.000000
   -5   -3    0    1    2    0.000000   -0.000000
   -5   -3    0    2    2    0.000051    0.000000
   -5   -3    0    3    2   -0.000000    0.000000
   -5   -3    0    4    2   -0.000000    0.000000
   -5   -3    0    5    2    0.000000    0.000000
   -5   -3    0    6    2    0.000113   -0.000000
   -5   -3    0    7    2    0.000000   -0.000000
   -5   -3    0    8    2    0.000000   -0.000000
   -5   -3    0    1    3   -0.001794   -0.000000
   -5   -3    0    2    3   -0.000000   -0.000000
   -5   -3    0    3    3    0.001576   -0.000000
   -5   -3    0    4    3    0.001821    0.000000
   -5   -3    0    5    3   -0.002898   -0.000000
   -5   -3    0    6    3   -0.000000    0.000000
   -5   -3    0    7    3   -0.000157   -0.000000
   -5   -3    0    8    3    0.000817    0.000000
   -5   -3    0    1    4    0.000096    0.000000
   -5   -3    0    2    4    0.000000   -0.000000
   -5   -3    0    3    4    0.001131    0.000000
   -5   -3    0    4    4   -0.002942    0.000000
   -5   -3    0    5    4    0.000354    0.000000
   -5   -3    0    6    4   -0.000000   -0.000000
   -5   -3    0    7    4    0.000817   -0.000000
   -5   -3    0    8    4   -0.003694   -0.000000
   -5   -3    0    1    5   -0.000521    0.000000
   -5   -3    0    2    5    0.000000    0.000000
   -5   -3    0    3    5   -0.000463   -0.000000
   -5   -3    0    4    5   -0.001971    0.000000
   -5   -3    0    5    5    0.002078   -0.000000
   -5   -3    0    6    5    0.000000   -0.000000
   -5   -3    0    7    5    0.001794   -0.000000
   -5   -3    0    8    5   -0.000096    0.000000
   -5   -3    0    1    6   -0.000000   -0.000000
   -5   -3    0    2    6    0.000124   -0.000000
   -5   -3    0    3    6    0.000000    0.000000
   -5   -3    0    4    6   -0.000000    0.000000
   -5   -3    0    5    6    0.000000    0.000000
   -5   -3    0    6    6    0.000051   -0.000000
   -5   -3    0    7    6    0.000000    0.000000
   -5   -3    0    8    6   -0.000000    0.000000
   -5   -3    0    1    7    0.000463   -0.000000
   -5   -3    0    2    7   -0.000000    0.000000
   -5   -3    0    3    7    0.000408    0.000000
   -5   -3    0    4    7    0.001469    0.000000
   -5   -3    0    5    7    0.002686    0.000000
   -5   -3    0    6    7    0.000000    0.000000
   -5   -3    0    7    7    0.001576   -0.000000
   -5   -3    0    8    7    0.001131   -0.000000
   -5   -3    0    1    8    0.001971   -0.000000
   -5   -3    0    2    8    0.000000    0.000000
   -5   -3    0    3    8    0.001469    0.000000
   -5   -3    0    4    8   -0.001463    0.000000
   -5   -3    0    5    8    0.003403    0.000000
   -5   -3    0    6    8    0.000000   -0.000000
   -5   -3    0    7    8    0.001821   -0.000000
   -5   -3    0    8    8   -0.002942    0.000000
   -5   -2    0    1    1   -0.002236   -0.000000
   -5   -2    0    2    1   -0.000000    0.000000
   -5   -2    0    3    1    0.000713   -0.000000
